thinkBack: Stock quote and option quote for EBAY on 9/19/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
54.68,+.05,"10,319,895",54.31,54.75,53.76

Theo parameters
Theo date,Theo stock price,Theo volatility
10/31/13,+.00,+0.00%

SEP2 13  (-5)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

SEP 13  (2)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.95,.05,-.04,.01,.00,3.23,40.95%,94.48%,5.52%,10.96%,0,16,3.18,.045,3.20,3.25,SEP 13,51.5,0,.02,-.02,.03,-.01,.00,.00,.01,31.65%,1.90%,98.10%,3.78%,52,22,0,.01
1.00,.00,.00,.00,.00,2.68,--,100.00%,0.00%,0.00%,136,125,2.68,-.02,2.56,2.76,SEP 13,52,.01,.02,-.03,.04,-.02,.00,.00,.02,29.03%,2.89%,97.11%,5.75%,61,79,0,.015
.91,.10,-.05,.01,.00,2.26,34.27%,90.23%,9.77%,19.40%,485,"6,891",2.18,.075,2.23,2.28,SEP 13,52.5,.02,.03,-.05,.07,-.02,.00,.00,.03,26.75%,4.78%,95.22%,9.51%,202,"4,764",0,.025
.89,.13,-.05,.01,.00,1.76,28.76%,88.20%,11.80%,23.46%,69,182,1.68,.08,1.74,1.78,SEP 13,53,.03,.05,-.07,.12,-.03,.01,.00,.04,24.06%,7.77%,92.23%,15.46%,950,"1,317",0,.04
