thinkBack: Stock quote and option quote for EBAY on 10/26/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
51.635,-.705,"15,838,077",52.59,52.92,51.05

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

OCT4 13  (0)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.00,3.64,--,100.00%,0.00%,0.00%,0,54,3.635,-.035,3.35,3.85,OCT4 13,48,0,.01,-.01,.02,-.04,.00,.00,.01,59.80%,1.02%,98.98%,2.04%,0,8,0,.005
.93,.07,-.13,.00,.00,2.70,70.42%,91.97%,8.03%,15.92%,200,23,2.635,.065,2.52,2.88,OCT4 13,49,0,.01,-.01,.03,-.04,.00,.00,.01,45.03%,1.35%,98.65%,2.69%,0,80,0,.005
1.00,.00,.00,.00,.00,2.14,--,100.00%,0.00%,0.00%,25,124,2.135,-.015,2.02,2.22,OCT4 13,49.5,0,.01,-.01,.04,-.03,.00,.00,0,36.77%,1.44%,98.56%,2.87%,0,413,0,.005
.88,.14,-.14,.01,.00,1.72,52.83%,87.50%,12.50%,24.83%,14,462,1.635,.085,1.56,1.88,OCT4 13,50,0,.01,-.02,.05,-.03,.00,.00,0,29.11%,1.76%,98.24%,3.51%,21,692,0,.005
.94,.16,-.05,.00,.00,1.16,27.70%,93.66%,6.34%,12.65%,304,260,1.135,.02,1.08,1.23,OCT4 13,50.5,0,.01,-.02,.10,-.03,.00,.00,.01,21.65%,2.52%,97.48%,5.03%,16,514,0,.005
.97,.22,-.01,.00,.00,.64,13.05%,96.48%,3.52%,7.03%,597,392,.635,.005,.56,.72,OCT4 13,51,0,.01,-.04,.23,-.02,.00,.00,.01,13.22%,3.70%,96.30%,7.40%,392,467,0,.005
.77,1.64,-.03,.01,.00,.16,6.87%,76.69%,23.31%,46.63%,"2,207",673,.135,.025,.10,.22,OCT4 13,51.5,0,.02,-.14,1.78,-.01,.01,.00,.01,4.86%,15.12%,84.88%,30.25%,295,360,0,.01
.05,.48,-.01,.00,.00,.01,8.32%,5.28%,94.72%,10.56%,511,"1,267",0,.005,0,.01,OCT4 13,52,.30,.44,-.93,.44,-.02,.00,.00,.37,8.58%,94.17%,5.83%,11.67%,526,"1,191",.365,.005
.06,.22,-.04,.00,.00,.02,20.75%,6.24%,93.76%,12.51%,482,"2,651",0,.015,0,.03,OCT4 13,52.5,.77,.98,-.94,.16,-.04,.00,.00,.88,19.64%,94.75%,5.25%,10.51%,"2,324",805,.865,.01
.02,.08,-.02,.00,.00,.01,24.71%,2.15%,97.85%,4.31%,58,"1,323",0,.005,0,.01,OCT4 13,53,1.27,1.47,-.95,.04,-.04,.00,.00,1.37,27.23%,96.70%,3.30%,6.62%,70,94,1.365,.005
.02,.05,-.02,.00,.00,0,31.47%,1.53%,98.47%,3.06%,105,542,0,.005,0,.01,OCT4 13,53.5,1.69,1.97,-1.00,.00,.00,.00,.00,1.86,--,100.00%,0.00%,,24,75,1.865,-.035
.01,.03,-.02,.00,.00,0,38.43%,1.27%,98.73%,2.54%,2,271,0,.005,0,.01,OCT4 13,54,2.18,2.47,-1.00,.00,.00,.00,.00,2.36,--,100.00%,0.00%,,61,54,2.365,-.04
.01,.03,-.02,.00,.00,.01,45.91%,1.19%,98.81%,2.39%,0,20,0,.005,0,.01,OCT4 13,54.5,2.76,2.98,-.95,.01,-.08,.00,.00,2.87,55.02%,97.06%,2.94%,5.91%,42,12,2.865,.005
.01,.02,-.02,.00,.00,.01,52.40%,1.03%,98.97%,2.07%,0,77,0,.005,0,.01,OCT4 13,55,3.15,3.55,-1.00,.00,.00,.00,.00,3.36,--,100.00%,0.00%,,2,10,3.365,-.015

NOV1 13  (7)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.01,3.64,--,100.00%,0.00%,0.00%,0,0,3.635,-.45,2.62,3.75,NOV1 13,48,.01,.03,-.03,.03,-.01,.00,.00,.02,25.84%,2.93%,97.07%,5.82%,0,0,0,.02
1.00,.00,.00,.00,.01,2.64,--,100.00%,0.00%,0.00%,0,0,2.635,-.18,2.16,2.75,NOV1 13,49,.04,.06,-.06,.07,-.01,.01,.00,.05,23.49%,6.80%,93.20%,13.51%,12,18,0,.05
.97,.06,.00,.00,.01,2.15,15.03%,97.06%,2.94%,5.86%,0,0,2.135,.015,2.04,2.26,NOV1 13,49.5,.08,.09,-.10,.10,-.02,.01,.00,.09,22.75%,10.77%,89.23%,21.39%,66,0,0,.085
.84,.14,-.03,.02,.01,1.78,22.11%,83.36%,16.64%,33.02%,15,151,1.635,.145,1.75,1.81,NOV1 13,50,.12,.14,-.15,.14,-.02,.02,.00,.13,21.44%,15.87%,84.13%,31.50%,518,9,0,.13
.76,.19,-.03,.02,.01,1.37,21.51%,75.30%,24.70%,48.98%,115,20,1.135,.235,1.34,1.40,NOV1 13,50.5,.21,.24,-.23,.19,-.03,.02,.00,.23,21.20%,24.37%,75.63%,48.34%,139,129,0,.225
.66,.23,-.04,.03,.01,1.01,20.99%,64.97%,35.03%,69.42%,"1,057",0,.635,.37,.98,1.03,NOV1 13,51,.34,.37,-.33,.23,-.03,.03,.00,.36,20.55%,34.70%,65.30%,68.79%,219,33,0,.355
.54,.25,-.04,.03,.01,.71,20.98%,52.81%,47.19%,93.39%,168,34,.135,.575,.69,.73,NOV1 13,51.5,.53,.56,-.46,.26,-.04,.03,-.01,.55,20.09%,47.01%,52.99%,93.09%,273,62,0,.545
.42,.25,-.04,.03,.00,.47,20.58%,40.33%,59.67%,81.46%,351,12,0,.465,.45,.48,NOV1 13,52,.79,.84,-.59,.25,-.04,.03,-.01,.82,20.17%,59.83%,40.17%,81.10%,116,163,.365,.45
.30,.22,-.03,.03,.00,.29,20.30%,28.56%,71.44%,57.60%,324,33,0,.285,.27,.30,NOV1 13,52.5,1.11,1.16,-.71,.23,-.03,.03,-.01,1.14,19.84%,71.86%,28.14%,56.73%,182,75,.865,.27
.20,.18,-.03,.02,.00,.17,20.41%,19.02%,80.98%,38.33%,235,48,0,.17,.16,.18,NOV1 13,53,1.49,1.55,-.81,.18,-.03,.02,-.01,1.52,19.85%,81.62%,18.38%,37.01%,408,330,1.365,.155
.13,.13,-.02,.02,.00,.10,20.78%,12.16%,87.84%,24.48%,111,145,0,.10,.09,.11,NOV1 13,53.5,1.92,2.03,-.86,.13,-.02,.02,-.01,1.98,21.63%,86.92%,13.08%,26.36%,50,15,1.865,.11
.08,.09,-.02,.01,.00,.06,21.45%,7.71%,92.29%,15.51%,1,0,0,.06,.05,.07,NOV1 13,54,2.24,2.53,-.94,.05,-.01,.01,-.01,2.39,18.14%,95.35%,4.65%,9.34%,0,0,2.365,.02
.05,.06,-.01,.01,.00,.03,21.38%,4.26%,95.74%,8.58%,0,0,0,.03,.02,.04,NOV1 13,54.5,2.37,3.10,-1.00,.00,.00,.00,.00,2.86,--,100.00%,0.00%,,0,0,2.865,-.13
.03,.04,-.01,.01,.00,.02,22.52%,2.81%,97.19%,5.65%,2,0,0,.02,.01,.03,NOV1 13,55,3.30,3.50,-.93,.04,-.02,.01,-.01,3.40,26.30%,94.95%,5.05%,10.17%,16,5,3.365,.035

NOV 13  (21)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.02,21.64,--,100.00%,0.00%,0.00%,0,112,21.635,-.785,20.00,21.70,NOV 13,30,0,.02,.00,.00,.00,.00,.00,.01,83.52%,0.54%,99.46%,1.05%,0,0,0,.01
1.00,.00,.00,.00,.02,16.65,61.28%,99.40%,0.60%,1.17%,0,0,16.635,.015,15.00,18.30,NOV 13,35,0,.01,.00,.00,.00,.00,.00,.01,57.43%,0.36%,99.64%,0.70%,0,14,0,.005
1.00,.00,.00,.00,.02,11.64,--,100.00%,0.00%,0.00%,4,89,11.635,-.01,11.55,11.70,NOV 13,40,0,.01,.00,.00,.00,.00,.00,.01,39.00%,0.44%,99.56%,0.86%,10,"1,481",0,.005
.99,.01,.00,.00,.03,6.65,23.80%,99.00%,1.00%,1.97%,201,988,6.635,.015,6.55,6.75,NOV 13,45,.02,.04,-.02,.01,.00,.01,.00,.03,28.34%,2.59%,97.41%,5.12%,533,"4,205",0,.03
.73,.12,-.02,.04,.02,2.12,22.22%,71.41%,28.59%,56.32%,"1,133","5,413",1.635,.48,2.07,2.16,NOV 13,50,.45,.48,-.27,.12,-.02,.04,-.01,.47,22.04%,28.42%,71.58%,56.00%,314,"12,713",0,.465
.39,.14,-.02,.05,.01,.73,21.70%,36.85%,63.15%,74.95%,"3,979","13,488",0,.73,.72,.74,NOV 13,52.5,1.54,1.59,-.61,.14,-.02,.05,-.02,1.57,21.24%,63.38%,36.62%,74.44%,431,"7,891",.865,.70
.13,.08,-.01,.03,.00,.19,22.64%,12.28%,87.72%,24.87%,"2,230","20,958",0,.19,.18,.20,NOV 13,55,3.45,3.65,-.86,.07,-.01,.03,-.02,3.55,22.82%,87.54%,12.46%,25.24%,40,"4,252",3.365,.185
.05,.03,-.01,.01,.00,.06,25.51%,4.03%,95.97%,8.16%,92,"25,714",0,.06,.05,.07,NOV 13,57.5,5.85,6.00,-.93,.02,-.01,.02,-.02,5.93,27.36%,94.88%,5.12%,10.38%,0,"1,529",5.865,.06
.02,.01,.00,.01,.00,.02,28.09%,1.35%,98.65%,2.74%,106,"14,147",0,.02,.01,.03,NOV 13,60,8.30,8.50,-.93,.01,-.01,.02,-.01,8.40,35.48%,96.13%,3.87%,7.87%,15,132,8.365,.035
.01,.01,.00,.00,.00,.01,31.63%,0.63%,99.37%,1.27%,100,"1,443",0,.01,0,.02,NOV 13,62.5,10.80,12.50,-.82,.02,-.06,.03,-.02,11.65,75.41%,86.94%,13.06%,27.42%,0,10,10.865,.785
.01,.00,.00,.00,.00,.01,37.26%,0.52%,99.48%,1.06%,5,"4,049",0,.01,0,.02,NOV 13,65,11.55,15.00,-1.00,.00,.00,.00,.00,13.36,--,100.00%,0.00%,,0,0,13.365,-.09
.01,.00,.00,.00,.00,.01,47.70%,0.39%,99.61%,0.80%,0,38,0,.01,0,.02,NOV 13,70,16.45,20.00,-1.00,.00,.00,.00,.00,18.36,--,100.00%,0.00%,,0,0,18.365,-.14
.00,.00,.00,.00,.00,.01,53.16%,0.17%,99.83%,0.35%,0,16,0,.005,0,.01,NOV 13,75,21.45,25.10,-1.00,.00,.00,.00,.00,23.36,--,100.00%,0.00%,,0,0,23.365,-.09
