thinkBack: Stock quote and option quote for SPY on 10/26/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
175.95,+.80,"93,625,090",175.51,176.00,175.17

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

OCT4 13  (0)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.00,3.45,--,100.00%,0.00%,0.00%,682,"18,145",3.45,-.075,3.22,3.53,OCT4 13,172.5,0,.01,-.01,.02,-.04,.00,.00,.01,16.44%,1.08%,98.92%,2.15%,692,"20,955",0,.005
1.00,.00,.00,.00,.00,2.95,--,100.00%,0.00%,0.00%,"9,263","17,512",2.95,-.05,2.77,3.03,OCT4 13,173,0,.01,-.01,.02,-.04,.00,.00,.01,14.30%,1.20%,98.80%,2.40%,"1,958","50,773",0,.005
1.00,.00,.00,.00,.00,2.45,--,100.00%,0.00%,0.00%,"2,291","9,676",2.45,-.04,2.29,2.53,OCT4 13,173.5,0,.01,-.01,.03,-.03,.00,.00,.01,12.14%,1.37%,98.63%,2.74%,"2,944","24,231",0,.005
1.00,.00,.00,.00,.00,1.95,--,100.00%,0.00%,0.00%,"4,241","28,544",1.95,-.075,1.72,2.03,OCT4 13,174,0,.01,-.02,.04,-.03,.00,.00,.01,9.94%,1.61%,98.39%,3.22%,"12,287","44,579",0,.005
1.00,.00,.00,.00,.00,1.45,--,100.00%,0.00%,0.00%,"7,413","17,386",1.45,-.05,1.35,1.45,OCT4 13,174.5,0,.01,-.02,.07,-.03,.00,.00,.01,7.69%,1.99%,98.01%,3.98%,"25,058","30,275",0,.005
1.00,.00,.00,.00,.00,.95,--,100.00%,0.00%,0.00%,"23,492","32,937",.95,-.04,.84,.98,OCT4 13,175,0,.01,-.03,.13,-.02,.01,.00,.01,5.37%,2.69%,97.31%,5.39%,"65,482","48,034",0,.005
1.00,.00,.00,.00,.00,.45,--,100.00%,0.00%,0.00%,"52,654","31,387",.45,-.14,.22,.40,OCT4 13,175.5,0,.01,-.04,.37,-.02,.01,.00,.01,2.93%,4.69%,95.31%,9.39%,"34,482","9,329",0,.005
.18,4.92,-.01,.02,.00,.01,0.58%,18.01%,81.99%,35.59%,"65,785","29,061",0,.005,0,.01,OCT4 13,176,.14,.20,-.55,1.09,-.06,.04,.00,.17,3.93%,55.41%,44.59%,89.04%,"24,027","7,375",.05,.12
.04,.28,-.01,.01,.00,.01,3.42%,4.07%,95.93%,8.12%,"6,280","11,338",0,.005,0,.01,OCT4 13,176.5,.47,.78,-.79,.42,-.09,.03,.00,.63,7.21%,79.61%,20.39%,40.77%,"1,134","1,312",.55,.075
.02,.11,-.02,.01,.00,.01,5.79%,2.48%,97.52%,4.96%,"2,253","8,885",0,.005,0,.01,OCT4 13,177,.97,1.27,-.85,.23,-.11,.02,.00,1.12,10.64%,85.78%,14.22%,28.46%,"1,908","2,188",1.05,.07
