thinkBack: Stock quote and option quote for EBAY on 10/29/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
51.97,+.335,"8,551,595",51.80,52.28,51.46

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (4)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.01,3.97,--,100.00%,0.00%,0.00%,0,0,3.97,-.095,3.40,4.35,NOV1 13,48,0,.04,-.02,.03,-.01,.00,.00,.02,35.00%,2.74%,97.26%,5.43%,0,0,0,.02
1.00,.00,.00,.00,.01,2.97,--,100.00%,0.00%,0.00%,0,0,2.97,-.225,2.44,3.05,NOV1 13,49,0,.02,-.02,.03,-.01,.00,.00,.01,24.32%,2.00%,98.00%,3.97%,25,30,0,.01
1.00,.00,.00,.00,.01,2.47,--,100.00%,0.00%,0.00%,0,0,2.47,-.205,1.98,2.55,NOV1 13,49.5,.02,.04,-.05,.06,-.02,.01,.00,.03,25.14%,5.03%,94.97%,10.00%,10,66,0,.03
.91,.11,-.03,.01,.01,2.04,25.37%,90.12%,9.88%,19.64%,409,166,1.97,.07,2.02,2.06,NOV1 13,50,.04,.06,-.08,.10,-.02,.01,.00,.05,23.47%,8.16%,91.84%,16.22%,80,442,0,.05
.85,.16,-.04,.01,.01,1.59,24.26%,84.08%,15.92%,31.62%,312,32,1.47,.12,1.57,1.61,NOV1 13,50.5,.10,.12,-.15,.16,-.03,.01,.00,.11,23.67%,15.31%,84.69%,30.42%,236,251,0,.11
.76,.22,-.05,.02,.01,1.18,23.57%,74.88%,25.12%,49.87%,13,293,.97,.21,1.16,1.20,NOV1 13,51,.18,.21,-.24,.22,-.04,.02,.00,.20,22.87%,24.45%,75.55%,48.54%,128,231,0,.195
.64,.27,-.05,.02,.00,.83,23.09%,62.70%,37.30%,73.97%,196,97,.47,.355,.81,.84,NOV1 13,51.5,.32,.35,-.36,.28,-.05,.02,.00,.34,22.29%,36.82%,63.18%,73.06%,570,291,0,.335
.50,.29,-.06,.02,.00,.54,22.63%,48.65%,51.35%,98.24%,843,285,0,.535,.52,.55,NOV1 13,52,.53,.56,-.50,.30,-.05,.02,.00,.54,21.87%,51.36%,48.64%,98.18%,450,270,.03,.515
.35,.28,-.05,.02,.00,.32,22.08%,34.30%,65.70%,69.14%,699,274,0,.315,.30,.33,NOV1 13,52.5,.81,.84,-.65,.28,-.05,.02,.00,.83,21.28%,66.23%,33.77%,68.05%,106,184,.53,.295
.22,.23,-.04,.02,.00,.17,21.79%,21.74%,78.26%,43.76%,418,230,0,.17,.16,.18,NOV1 13,53,1.16,1.20,-.78,.23,-.04,.02,-.01,1.18,20.79%,79.32%,20.68%,41.61%,10,281,1.03,.15
.13,.16,-.03,.01,.00,.09,21.74%,12.46%,87.54%,25.07%,"1,131",128,0,.085,.08,.09,NOV1 13,53.5,1.58,1.62,-.88,.15,-.03,.01,.00,1.60,20.76%,88.59%,11.41%,22.93%,11,40,1.53,.07
.07,.10,-.02,.01,.00,.04,21.88%,6.58%,93.42%,13.22%,26,1,0,.04,.03,.05,NOV1 13,54,1.98,2.28,-.87,.11,-.04,.01,.00,2.13,27.99%,88.21%,11.79%,23.76%,0,0,2.03,.10
.04,.06,-.01,.00,.00,.02,22.55%,3.49%,96.51%,7.01%,0,0,0,.02,.01,.03,NOV1 13,54.5,2.22,2.78,-1.00,.00,.00,.00,.00,2.53,--,100.00%,0.00%,,0,0,2.53,-.03
.02,.03,-.01,.00,.00,.01,23.33%,1.84%,98.16%,3.70%,12,0,0,.01,0,.02,NOV1 13,55,3.00,3.10,-.94,.03,-.02,.01,.00,3.05,28.18%,95.85%,4.15%,8.35%,0,21,3.03,.02

NOV 13  (18)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.02,21.97,--,100.00%,0.00%,0.00%,0,112,21.97,-.045,21.80,22.05,NOV 13,30,0,.02,.00,.00,.00,.00,.00,.01,90.79%,0.54%,99.46%,1.04%,0,0,0,.01
1.00,.00,.00,.00,.02,16.97,--,100.00%,0.00%,0.00%,0,0,16.97,-.195,14.85,18.70,NOV 13,35,0,.01,.00,.00,.00,.00,.00,.01,62.64%,0.35%,99.65%,0.69%,0,14,0,.005
