thinkBack: Stock quote and option quote for EBAY on 10/30/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
53.34,+1.37,"12,253,291",52.29,53.37,52.08

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (3)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.95,.01,-.02,.01,.15,3.35,33.81%,96.48%,3.52%,6.99%,156,372,3.34,.01,3.30,3.40,NOV1 13,50,0,.01,-.01,.02,-.01,.00,.00,.01,26.86%,1.11%,98.89%,2.21%,161,491,0,.005
.95,.02,-.02,.01,.12,2.85,28.81%,96.40%,3.60%,7.15%,75,173,2.84,.01,2.82,2.88,NOV1 13,50.5,0,.02,-.02,.03,-.01,.00,.00,.01,25.46%,2.07%,97.93%,4.11%,26,384,0,.01
.94,.04,-.02,.01,.08,2.36,24.72%,95.74%,4.26%,8.48%,67,302,2.34,.015,2.32,2.39,NOV1 13,51,.02,.03,-.04,.07,-.02,.01,.00,.03,25.18%,4.56%,95.44%,9.07%,88,308,0,.025
.94,.06,-.02,.01,.06,1.86,19.86%,95.34%,4.66%,9.29%,107,220,1.84,.015,1.82,1.89,NOV1 13,51.5,.02,.04,-.06,.10,-.02,.01,.00,.03,21.53%,6.09%,93.91%,12.13%,39,631,0,.03
.88,.16,-.03,.01,.02,1.41,21.04%,87.38%,12.62%,25.10%,593,985,1.34,.07,1.39,1.43,NOV1 13,52,.06,.08,-.12,.17,-.03,.01,.00,.07,20.95%,12.51%,87.49%,24.89%,71,449,0,.07
.77,.26,-.04,.02,.01,1.00,21.02%,76.14%,23.86%,47.42%,419,794,.84,.16,.98,1.02,NOV1 13,52.5,.15,.16,-.23,.26,-.04,.02,.00,.16,20.71%,23.53%,76.47%,46.75%,239,179,0,.155
.62,.33,-.05,.02,.00,.65,20.73%,61.17%,38.83%,77.07%,375,547,.34,.31,.64,.66,NOV1 13,53,.29,.31,-.38,.34,-.05,.02,.00,.30,20.25%,38.54%,61.46%,76.52%,132,287,0,.30
.45,.35,-.05,.02,.00,.37,19.98%,43.89%,56.11%,88.48%,427,"1,167",0,.37,.36,.38,NOV1 13,53.5,.52,.54,-.55,.35,-.05,.02,.00,.53,19.98%,56.11%,43.89%,88.48%,795,50,.16,.37
.28,.31,-.04,.02,.00,.19,19.56%,27.06%,72.94%,54.46%,257,27,0,.185,.18,.19,NOV1 13,54,.83,.86,-.72,.31,-.04,.02,.00,.85,19.56%,72.94%,27.06%,54.46%,10,0,.66,.185
.15,.21,-.03,.01,.00,.08,19.31%,14.12%,85.88%,28.39%,181,0,0,.08,.07,.09,NOV1 13,54.5,1.21,1.43,-.79,.21,-.05,.02,-.01,1.32,24.83%,79.98%,20.02%,40.33%,0,0,1.16,.16
.06,.11,-.02,.01,.00,.03,18.51%,5.57%,94.43%,11.19%,13,12,0,.025,.02,.03,NOV1 13,55,1.66,1.72,-.93,.11,-.02,.01,-.02,1.69,19.38%,93.59%,6.41%,12.88%,0,21,1.66,.03
.03,.05,-.01,.00,.00,.01,19.31%,2.42%,97.58%,4.85%,0,48,0,.01,0,.02,NOV1 13,55.5,2.12,2.51,-.85,.11,-.06,.01,-.01,2.32,36.16%,85.72%,14.28%,28.83%,0,0,2.16,.155
.01,.03,-.01,.00,.00,0,20.54%,1.15%,98.85%,2.30%,0,15,0,.005,0,.01,NOV1 13,56,2.62,3.30,-.81,.09,-.10,.02,-.01,2.96,51.96%,82.18%,17.82%,36.18%,0,0,2.66,.30
.02,.03,-.01,.00,.00,.01,26.36%,1.78%,98.22%,3.59%,0,0,0,.01,0,.02,NOV1 13,56.5,3.00,3.60,-.88,.07,-.06,.01,-.02,3.30,45.39%,89.17%,10.83%,21.92%,0,0,3.16,.14

NOV 13  (17)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.01,23.34,--,100.00%,0.00%,0.00%,0,112,23.34,-.015,23.25,23.40,NOV 13,30,0,.02,.00,.00,.00,.00,.00,.01,97.20%,0.52%,99.48%,1.01%,0,0,0,.01
1.00,.00,.00,.00,.02,18.34,--,100.00%,0.00%,0.00%,0,0,18.34,-.39,16.00,19.90,NOV 13,35,0,.01,.00,.00,.00,.00,.00,.01,68.42%,0.35%,99.65%,0.68%,0,14,0,.005
1.00,.00,.00,.00,.02,13.35,48.11%,99.59%,0.41%,0.81%,84,91,13.34,.01,13.30,13.40,NOV 13,40,0,.01,.00,.00,.00,.00,.00,.01,48.07%,0.41%,99.59%,0.80%,0,"1,489",0,.005
1.00,.00,.00,.00,.02,8.35,29.61%,99.47%,0.53%,1.05%,46,964,8.34,.01,8.30,8.40,NOV 13,45,.02,.03,-.02,.01,.00,.00,.00,.03,36.36%,1.93%,98.07%,3.82%,31,"4,628",0,.025
.90,.06,-.01,.02,.02,3.48,23.04%,89.27%,10.73%,21.23%,"1,336","5,635",3.34,.135,3.45,3.50,NOV 13,50,.14,.15,-.10,.06,-.01,.02,.00,.15,23.81%,11.52%,88.48%,22.77%,730,"15,478",0,.145
.64,.15,-.03,.04,.02,1.47,21.12%,62.47%,37.53%,74.01%,"2,626","12,541",.84,.63,1.46,1.48,NOV 13,52.5,.61,.63,-.36,.15,-.03,.04,-.01,.62,21.04%,37.48%,62.52%,73.91%,"1,098","8,037",0,.62
.26,.13,-.02,.04,.01,.37,20.50%,24.40%,75.60%,49.40%,"3,833","24,628",0,.37,.36,.38,NOV 13,55,2.01,2.04,-.74,.13,-.02,.04,-.02,2.03,20.55%,75.55%,24.45%,49.49%,60,"4,287",1.66,.365
.07,.05,-.01,.02,.00,.09,22.79%,6.58%,93.42%,13.30%,"1,233","25,717",0,.085,.08,.09,NOV 13,57.5,4.20,4.30,-.91,.05,-.01,.02,-.02,4.25,23.82%,92.57%,7.43%,15.03%,0,"1,529",4.16,.09
.02,.01,.00,.00,.00,.02,24.19%,1.34%,98.66%,2.69%,23,"14,120",0,.015,.01,.02,NOV 13,60,6.65,6.75,-.93,.01,-.01,.01,-.01,6.70,31.24%,95.81%,4.19%,8.49%,5,138,6.66,.04
.01,.01,.00,.00,.00,.01,29.70%,0.75%,99.25%,1.51%,0,"1,539",0,.01,0,.02,NOV 13,62.5,9.10,9.20,-1.00,.00,.00,.00,.00,9.16,--,100.00%,0.00%,,0,10,9.16,-.01
.00,.00,.00,.00,.00,.01,33.41%,0.35%,99.65%,0.70%,2,"4,045",0,.005,0,.01,NOV 13,65,10.00,13.45,-.92,.01,-.02,.02,-.01,11.73,53.57%,95.74%,4.26%,8.74%,0,0,11.66,.065
.01,.00,.00,.00,.00,.01,47.66%,0.44%,99.56%,0.89%,0,38,0,.01,0,.02,NOV 13,70,15.10,18.40,-.90,.00,-.04,.02,-.01,16.75,75.71%,95.55%,4.45%,9.23%,0,0,16.66,.09
.00,.00,.00,.00,.00,0,53.94%,0.18%,99.82%,0.37%,0,16,0,.005,0,.01,NOV 13,75,20.00,23.40,-.89,.00,-.05,.02,-.01,21.70,93.76%,95.91%,4.09%,8.54%,0,0,21.66,.04
.00,.00,.00,.00,.00,.01,67.44%,0.27%,99.73%,0.55%,0,2,0,.01,0,.02,NOV 13,80,24.85,29.00,-.86,.00,-.08,.02,-.01,26.93,125.22%,94.48%,5.52%,11.76%,0,0,26.66,.265

DEC 13  (52)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
