thinkBack: Stock quote and option quote for EBAY on 10/31/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
52.725,-.615,"8,700,053",53.51,53.51,52.5156

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (2)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.00,3.23,--,100.00%,0.00%,0.00%,0,0,3.225,-.645,1.81,3.35,NOV1 13,49.5,0,.01,-.01,.02,-.01,.00,.00,.01,30.42%,1.14%,98.86%,2.27%,0,72,0,.005
.97,.04,-.01,.00,.00,2.74,30.19%,97.30%,2.70%,5.38%,81,326,2.725,.015,2.71,2.77,NOV1 13,50,0,.01,-.01,.03,-.01,.00,.00,.01,26.24%,1.32%,98.68%,2.63%,55,519,0,.005
.96,.07,-.02,.00,.00,2.25,28.00%,95.42%,4.58%,9.12%,66,162,2.225,.025,2.21,2.29,NOV1 13,50.5,0,.01,-.01,.03,-.01,.00,.00,0,21.55%,1.39%,98.61%,2.78%,105,380,0,.005
.96,.09,-.02,.00,.00,1.75,21.69%,95.38%,4.62%,9.20%,66,321,1.725,.02,1.72,1.77,NOV1 13,51,0,.02,-.03,.07,-.01,.00,.00,.01,19.39%,2.97%,97.03%,5.92%,29,260,0,.01
.90,.18,-.03,.01,.00,1.27,20.14%,89.98%,10.02%,19.97%,6,204,1.225,.045,1.24,1.30,NOV1 13,51.5,.03,.05,-.09,.18,-.03,.01,.00,.04,19.66%,9.48%,90.52%,18.90%,38,623,0,.04
.78,.31,-.05,.01,.00,.85,20.19%,77.30%,22.70%,45.19%,12,616,.725,.125,.83,.87,NOV1 13,52,.11,.13,-.22,.31,-.05,.01,.00,.12,19.91%,22.38%,77.62%,44.55%,116,471,0,.12
.60,.41,-.06,.02,.00,.50,19.78%,59.13%,40.87%,81.29%,89,657,.225,.275,.49,.51,NOV1 13,52.5,.26,.28,-.40,.41,-.06,.02,.00,.27,19.57%,40.77%,59.23%,81.09%,163,325,0,.27
.39,.42,-.06,.02,.00,.25,19.14%,37.93%,62.07%,76.25%,116,627,0,.245,.23,.26,NOV1 13,53,.51,.53,-.61,.42,-.05,.02,.00,.52,19.21%,62.03%,37.97%,76.34%,48,319,.275,.245
.20,.31,-.04,.01,.00,.10,18.91%,19.52%,80.48%,39.20%,131,"1,418",0,.10,.09,.11,NOV1 13,53.5,.84,.89,-.81,.31,-.04,.01,.00,.87,18.24%,81.31%,18.69%,37.52%,23,818,.775,.09
.08,.17,-.02,.01,.00,.04,19.05%,8.21%,91.79%,16.47%,24,211,0,.035,.03,.04,NOV1 13,54,1.24,1.33,-.94,.09,-.01,.01,.00,1.29,15.52%,95.59%,4.41%,8.85%,58,10,1.275,.01
