thinkBack: Stock quote and option quote for SNDK on 10/31/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
69.86,-.94,"4,786,373",69.98,70.33,69.31

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (2)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
1.00,.00,.00,.00,.00,3.36,--,100.00%,0.00%,,0,352,3.36,-.01,3.30,3.40,NOV1 13,66.5,.02,.04,-.04,.05,-.03,.01,.00,.03,28.88%,4.27%,95.73%,8.03%,0,213,0,.03
1.00,.00,.00,.00,.00,2.86,--,100.00%,0.00%,,3,376,2.86,-.015,2.79,2.90,NOV1 13,67,.04,.07,-.07,.07,-.05,.01,.00,.06,28.43%,7.25%,92.75%,13.56%,58,378,0,.055
.94,.16,-.02,.01,.00,2.37,33.17%,84.07%,15.93%,29.70%,"1,214","1,864",2.36,.01,2.33,2.41,NOV1 13,67.5,.07,.10,-.10,.11,-.06,.01,.00,.09,26.94%,10.85%,89.15%,20.13%,2,409,0,.085
.92,.22,-.02,.01,.00,1.87,28.04%,81.46%,18.54%,34.16%,2,207,1.86,.01,1.83,1.91,NOV1 13,68,.13,.15,-.16,.15,-.08,.02,.00,.14,25.97%,16.65%,83.35%,30.59%,858,"1,070",0,.14
.88,.30,-.02,.01,.00,1.38,23.58%,76.59%,23.41%,42.36%,8,152,1.36,.02,1.35,1.41,NOV1 13,68.5,.22,.24,-.24,.19,-.10,.02,.00,.23,25.22%,24.93%,75.07%,45.27%,86,218,0,.23
.70,.29,-.05,.02,.00,1.02,25.35%,63.94%,36.06%,64.70%,68,319,.86,.155,.99,1.04,NOV1 13,69,.36,.39,-.35,.23,-.13,.02,.00,.38,24.94%,35.83%,64.17%,64.22%,901,297,0,.375
.56,.28,-.06,.02,.00,.71,25.61%,51.67%,48.33%,85.54%,70,111,.36,.35,.69,.73,NOV1 13,69.5,.55,.58,-.47,.26,-.14,.03,.00,.57,24.15%,48.17%,51.83%,84.82%,132,247,0,.565
.42,.26,-.07,.02,.00,.48,25.79%,39.54%,60.46%,91.66%,75,476,0,.475,.46,.49,NOV1 13,70,.81,.85,-.60,.25,-.15,.02,.00,.83,23.80%,61.24%,38.76%,90.84%,677,602,.14,.69
.30,.22,-.06,.02,.00,.31,26.04%,28.62%,71.38%,65.00%,51,"3,033",0,.305,.29,.32,NOV1 13,70.5,1.14,1.19,-.72,.22,-.15,.02,.00,1.17,23.73%,73.15%,26.85%,61.55%,81,68,.64,.525
.21,.17,-.06,.02,.00,.19,26.40%,19.70%,80.30%,44.00%,30,"1,225",0,.19,.18,.20,NOV1 13,71,1.51,1.58,-.83,.17,-.14,.02,.00,1.55,23.06%,83.47%,16.53%,37.29%,0,31,1.14,.405
