thinkBack: Stock quote and option quote for SPY on 10/31/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
176.29,-.88,"140,001,830",177.38,177.51,175.66

Theo parameters
Theo date,Theo stock price,Theo volatility
11/1/13,+.00,+0.00%

NOV1 13  (2)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.83,.07,-.15,.04,.01,3.61,21.76%,82.81%,17.19%,34.23%,"1,373","10,626",3.29,.315,3.46,3.75,NOV1 13,173,.05,.07,-.06,.06,-.05,.02,.00,.06,13.66%,6.46%,93.54%,12.89%,"14,877","53,488",0,.06
.81,.08,-.14,.04,.01,3.12,19.93%,80.93%,19.07%,37.98%,203,"4,963",2.79,.33,3.02,3.22,NOV1 13,173.5,.07,.08,-.08,.07,-.05,.02,.00,.08,12.68%,8.31%,91.69%,16.60%,"14,743","38,374",0,.075
.79,.10,-.14,.05,.01,2.64,18.10%,78.52%,21.48%,42.78%,"1,260","15,622",2.29,.35,2.54,2.74,NOV1 13,174,.09,.10,-.11,.10,-.06,.03,.00,.10,11.64%,10.82%,89.18%,21.60%,"67,427","51,965",0,.095
.76,.12,-.14,.05,.01,2.17,16.33%,75.29%,24.71%,49.24%,"1,098","6,474",1.79,.38,2.08,2.26,NOV1 13,174.5,.12,.13,-.14,.13,-.06,.04,.00,.13,10.63%,14.54%,85.46%,29.05%,"75,898","34,884",0,.125
.71,.15,-.13,.05,.01,1.72,14.62%,70.86%,29.14%,58.10%,"5,268","31,570",1.29,.425,1.65,1.78,NOV1 13,175,.17,.18,-.20,.18,-.07,.04,.00,.18,9.73%,20.31%,79.69%,40.58%,"77,883","39,108",0,.175
.65,.17,-.13,.06,.01,1.30,13.28%,64.39%,35.61%,71.02%,"5,179","19,437",.79,.51,1.25,1.35,NOV1 13,175.5,.25,.28,-.29,.24,-.08,.05,.00,.26,9.07%,29.30%,70.70%,58.55%,"29,677","26,253",0,.265
.56,.20,-.13,.06,.01,.94,12.32%,55.71%,44.29%,88.33%,"16,159","27,695",.29,.65,.90,.98,NOV1 13,176,.37,.40,-.41,.30,-.08,.06,-.01,.39,8.15%,41.21%,58.79%,82.37%,"107,258","42,535",0,.385
.46,.23,-.12,.06,.01,.60,10.95%,45.11%,54.89%,90.42%,"35,006","14,408",0,.60,.59,.61,NOV1 13,176.5,.54,.56,-.57,.36,-.07,.06,-.01,.55,6.89%,57.56%,42.44%,84.88%,"53,426","21,170",.21,.34
.33,.23,-.10,.06,.00,.35,10.06%,32.89%,67.11%,65.87%,"54,585","18,278",0,.35,.34,.36,NOV1 13,177,.74,.82,-.82,.34,-.03,.04,-.01,.78,4.78%,82.27%,17.73%,35.40%,"54,953","9,874",.71,.07
.21,.19,-.07,.05,.00,.18,9.38%,21.00%,79.00%,42.04%,"23,522","12,956",0,.18,.17,.19,NOV1 13,177.5,1.11,1.22,-1.00,.00,.00,.00,.00,1.21,--,100.00%,0.00%,,"12,845","1,761",1.21,-.045
